price,unit,location,bedrooms,baths,state
"
                                                        ₦60,000                                                    ",,"At Alternative Route, Off Chevron Drive, Lekk",,,Lagos
"
                                                        ₦1,700,000                                                    ",,"t Agungi, Lekki, Lagos",,,Lagos
"
                                                        ₦4,000,000                                                    ",,"Oniru, Victoria Island ",,,Lagos
"
                                                        ₦2.5 million                                                     ",,"Hi Life Estate By Abraham Adesanya, Ajah",4,,Lagos
"
                                                        ₦3 million                                                     ",,Magodo Brooks,3,,Lagos
"
                                                        ₦5 million                                                     ",,GRA Ikeja,3,,Lagos
"
                                                        ₦40 million                                                     ",,Arowojobe Estate Maryland,,,Lagos
"
                                                        ₦5 million                                                     ",,"Elegushi, Lekki ",5,,Lagos
"
                                                        ₦65 million                                                     ",,"Agungi, Lekki",5,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
Price on call,,Ikate Elegushi By House On The Rock Church,,,Lagos
Price on call,,"Off Chevron Drive, By Northern Foreshore Estate Gate",,,Lagos
Price on call,,JAKANDE BESIDE AA RESCUE,,,Lagos
Price on call,,"Bedwell Road, Ikoyi",,,Lagos
"
                                                        ₦170,000                                                    ",,"No. 8, Irepodun Str, Alagbado ",,,Lagos
"
                                                        ₦800,000                                                    ",,"Folorunsho Street Off Ajayi Road, Ogba ",,,Lagos
"
                                                        ₦800,000                                                    ",, Atiba Osborne St.,,,Lagos
"
                                                        ₦1,500,000                                                    ",,"Ebun Oti Str, ",,,Lagos
"
                                                        ₦1,000,000                                                    ",,Borno way Ebute-Metta ,,,Lagos
"
                                                        ₦500,000                                                    ",," Borno way, Eb/Metta Upstair vacant ",,,Lagos
"
                                                        ₦600,000                                                    ",," Moore Rd,Yaba,",,,Lagos
Price on call,,"Moleye Street Alagomeji, ",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦700,000                                                    ",,"Akinwunmi Str,",,,Lagos
"
                                                        ₦450,000                                                    ",," Onaronke Str, Pako, ",,,Lagos
"
                                                        ₦600,000                                                    ",,"Onaronke Street Off Bello Street, Pako B/Stop Akoka",,,Lagos
"
                                                        ₦600,000                                                    ",," 60, Joseph Harrison St., Onike Yaba",,,Lagos
"
                                                        ₦2,700,000                                                    ",," L’ August Close Off Adisa Bashua Str., Off Adelabu Str, S/L",,,Lagos
"
                                                        ₦350,000                                                    ",,"Calabar Str, Off Adisa Bashua Str., Off Adelabu Str",,,Lagos
"
                                                        ₦450,000                                                    ",," Olatilewa Street,",,,Lagos
"
                                                        ₦1,200,000                                                    ",,Oshikalu closed off Randle Avenue Surulere,,,Lagos
"
                                                        ₦270,000                                                    ",,"41, Church St, Oshodi",,,Lagos
"
                                                        ₦600,000                                                    ",,Abraham Adesanya ,,,Lagos
"
                                                        ₦1,500,000                                                    ",," Olubunmi Rotimi Str, Off Adebayo Doherty Rd, ",,,Lagos
"
                                                        ₦3,500,000                                                    ",,"@ Ikota Close to Lekki County Estate, Ajah",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦350 thousand                                                     ",,"Fola Osibo Street, Lekki",1,,Lagos
Price on call,,", off Bourdillon Road, Ikoyi ",,,Lagos
Price on call,," Parkview Estate, Ikoyi",,,Lagos
Price on call,,Lekki Phase 1,5,,Lagos
Price on call,,Lekki Phase 1,,,Lagos
Price on call,,Svcd Mini Estate ,,,Lagos
"
                                                        ₦2,500,000                                                    ",,In An Estate @ Point Rd ,,,Lagos
"
                                                        ₦5,000,000                                                    ",,Parkview Ikoyi,,,Lagos
Price on call,, Off 3rd Ave,,,Lagos
Price on call,,"Lt Court,Large Compound",,,Lagos
"
                                                        ₦3,000,000                                                    ",,"Palace Rd,",,,Lagos
Price on call,,Off Adeola Odeku,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
