price,unit,location,bedrooms,baths,parking_lots,state
"3,000,000", per annum,"  Osapa, Lekki, Lagos",4,5,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"2,000,000", per annum,"  Chevy View Estate, Lekki, Lagos",2,,,
"4,000,000", per annum,"  Off Kusenla Road, Ikate Elegushi, Lekki, Lagos",4,4,2,
"5,000,000", per annum,"  Parkview, Ikoyi, Lagos",4,3,3,
"1,000,000", per annum,"  Abraham Adesanya Estate, Ajah, Lagos",2,3,2,
"550,000", per annum,"  Itire-Ikate, Surulere, Lagos",1,1,,
"2,500,000", per annum,"  Dideolu Estate, Victoria Island (VI), Lagos",3,3,3,
"1,300,000", per annum,"  Ikota Villa Estate, Lekki, Lagos",3,2,,
"450,000", per annum,"  Ogunfayo, Close To Mayfair Gardens, Ibeju Lekki, Lagos",2,2,,
"1,600,000", per annum,"  Akanbi Onitinri Close, Eric Moore, Surulere, Lagos",4,1,75,
"13,000,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",4,4,,
"12,000,000", per annum,"  3rd Avenue, Banana Island, Ikoyi, Lagos",3,3,2,
"2,500,000", per annum,"  Eleganza Gardens, Opposite Vgc, VGC, Lekki, Lagos",4,4,4,
"3,000,000", per annum,"  Off Herbert Macualay Way, Alagomeji, Yaba, Lagos",4,4,2,
"8,000,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",2,2,1,
"8,000,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",3,3,2,
"1,200,000", per annum,"  Gwarinpa, Abuja",2,2,10,
"3,500,000", per annum,"  Jabi, Abuja",3,3,3,
"8,000,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",3,3,,
"5,000,000", per annum,"  Parkview, Ikoyi, Lagos",3,3,3,
"750,000", per annum,"  Obokun Street, Off Aina Street, Ojodu, Lagos",3,3,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"300,000", per annum,"  In A Close Off Oremeji Street, Alagbole, Ojodu, Lagos",3,3,,
"950,000", per annum,"  Westwood Estate, Badore, Ajah, Lagos",3,3,,
"4,500,000", per annum,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",3,3,2,
"1,800,000", per annum,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",2,2,2,
"3,200,000", per annum,"  Yetville Estate, Kusenla Road, Ikate, Ikate Elegushi, Lekki, Lagos",4,4,2,
"3,000,000", per annum,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",4,4,3,
"1,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"4,000,000", per annum,"  Parkview, Ikoyi, Lagos",3,3,,
"6,500,000", per annum,"  Oriwu Street, Lekki Phase 1, Lekki, Lagos",5,5,2,
"800,000", per annum,"  Off Ayodel Fanoiki Street, GRA, Magodo, Lagos",2,2,2,
"1,800,000", per annum,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",2,2,,
"3,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,,,
"5,000,000", per annum,"  Off Oladimeji Alo, Lekki Phase 1, Lekki, Lagos",4,4,3,
"5,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",,,,
"1,500,000", per annum,"  Abc Area, Utako, Abuja",2,2,"5,000",
"2,500,000", per annum,"  Ikate Elegushi, Lekki, Lagos",4,5,6,
"1,400,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"1,200,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"800,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"800,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"2,500,000", per annum,"  Off Lekki County Road, Ikota Villa Estate, Lekki, Lagos",4,4,,
"1,800,000", per annum,"  Ikate Elegushi, Lekki, Lagos",2,2,2,
"1,300,000", per annum,"  Cadastral Zone, Off Salem Assembly Church, Behind Ultra Modern Market, Life Camp Extension, Life Camp, Gwarinpa, Abuja",3,3,14,
"470,000", per annum,"  Arepo Estate, Opic, Isheri North, Lagos",2,2,2,
"850,000", per annum,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1,1,,
"500,000", per annum,"  Ocean Palm Estate, Peninsula Garden Estate, Ajah, Lagos",1,1,,
"10,000,000", per annum,"  Off Ogun Street, Banana Island, Ikoyi, Lagos",3,3,2,
"1,900,000", per annum,"  Medina, Gbagada, Lagos",3,3,4,
"7,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",6,7,,
"3,500,000", per annum,"  Off Admiralty Road, Lekki, Lagos",2,2,,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,5,,
"3,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,4,,
"350,000", per annum,"  Lekki, Lagos",1,1,600,
"3,500,000", per annum,"  Off Kusenla Road, Ikate Elegushi, Lekki, Lagos",4,4,2,
"3,000,000", per annum,"  Osapa, Lekki, Lagos",4,4,2,
"2,000,000", per annum,"  Lekki County Estate, Ikota Villa Estate, Lekki, Lagos",2,2,2,
"18,000,000", per annum,"  281, Otunba Close, Banana Island, Ikoyi, Lagos",3,4,,
"1,500,000", per annum,"  Osapa, Lekki, Lagos",2,2,2,
"1,300,000", per annum,"  Oral Estate, Chevy View Estate, Lekki, Lagos",2,2,2,
"1,700,000", per annum,"  Omole Phase 2, Ikeja, Lagos",4,4,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"1,200,000", per annum,"  Shangisha, GRA, Magodo, Lagos",2,2,,
"500,000", per annum,"  Arepo, Via Berger, Ojodu, Lagos",2,2,,
"850,000", per annum,"  Oshorun Heritage Estate, Isecom, Via Isheri, Magodo, Lagos",2,2,,
"600,000", per annum,"  Opic, Isheri North, Lagos",3,3,,
"1,000,000", per annum,"  Omole Phase 1, Ikeja, Lagos",3,3,,
"900,000", per annum,"  Harmony Villa Estate, Short Drive To Isheri, Magodo, Lagos",3,3,,
"1,300,000", per annum,"  Off Agbaoku Street, (by Tfc), Opebi, Ikeja, Lagos",3,2,,
"1,700,000", per annum,"  Chevron Drive, Chevy View Estate, Lekki, Lagos",3,3,2,
"3,000,000", per annum,"  Lekki Express Way, Igboefon Round About, Igbo Efon, Lekki, Lagos",2,150,,
"2,200,000", per annum,"  Ologolo, Lekki, Lagos",3,4,2,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",5,4,3,
"3,000,000", per annum,"  Gadogan, Osapa, Lekki, Lagos",3,3,3,
"2,500,000", per annum,"  Osapa, Lekki, Lagos",3,3,2,
"5,500,000", per annum,"  Osapa, Lekki, Lagos",5,5,3,
"300,000", per annum,"  Close To Eko Akete, Awoyaya, Ibeju Lekki, Lagos",1,1,,
"2,750,000", per annum,"  Lekki Phase 1, Lekki, Lagos",5,2,2,
"6,000,000", per annum,"  Prince Alaba, Oniru, Victoria Island (VI), Lagos",3,3,"2,000",
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,,,
"3,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",2,2,3,
"25,000,000", per annum,"  Victoria Island (VI), Lagos",16,16,20,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"4,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",,,,
"3,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",2,2,,
"1,200,000", per annum,"  Splash Bus Stop, Sangotedo, Ajah, Lagos",1,,,
"1,700,000", per annum,"  Agungi, Lekki, Lagos",3,3,6,
"1,100,000", per annum,"  Agungi, Lekki, Lagos",3,3,6,
"2,500,000", per annum,"  Thomas Estate, Ajah, Lagos",4,5,3,
"6,000,000", per annum,"  Abule Panu, Ajah, Lagos",,,,
"7,500,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",4,4,2,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,2,
"14,000,000", per annum,"  Banana Island Road, Banana Island, Ikoyi, Lagos",4,4,2,
"1,200,000", per annum,"  Off Unity Street, Ori-oke, Ogudu, Lagos",3,3,,
"3,000,000", per annum,"  Chevy View Estate, Lekki, Lagos",4,4,,
