price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 500 000
                ","
                        Per Year
                    ","Abijo , Lekki, Lekki",2,2,1,Lagos
"
                    ₦ 4 500 000
                ","
                        Per Month
                    ","1004 ESTATE, V.I, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","IKEJA GRA, Ikeja, Ikeja",4,4,,Lagos
"
                    ₦ 18 000 000
                ","
                        Per Year
                    ","off Osborne Road, Old Ikoyi. Lagos, Ikoyi-obalende, Ikoyi-obalende",4,4,2,Lagos
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","306 Close Banana Island, Ikoyi-obalende, Ikoyi-obalende",4,"4,5",,Lagos
"
                    ₦ 250 000
                ","
                        Per Year
                    ","Philips Street, Ogijo, Ikorodu, Ikorodu",3,2,4,Lagos
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","LEKKI PHASE ONE , Lekki, Lekki",4,4,,Lagos
"
                    ₦ 1 400 000
                ","
                        Per Year
                    ","mobil road ajah lagos, Lekki, Lekki",3,3,,Lagos
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","LEKKI PHASE ONE , Lekki, Lekki",2,2,,Lagos
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","PARKVIEW ESTATE, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Jide Sawyerr Dr Lekki Phase I, Lekki, Lekki",3,3,"
                    ",Lagos
"
                    ₦ 80 000
                ","
                        Per Day
                    ","VICTORIA ISLAND EXTENSION , Victoria Island, Lekki",2,2,,Lagos
"
                    ₦ 500 000
                ","
                        Per Year
                    ","Alogba Estate Zone B Ebute (3bedroom flat ), Ikorodu, Ikorodu",3,4,1,Lagos
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","Games Village (Kaura District), Kaura, Kaura",4,5,,Abuja
"
                    ₦ 30 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",7,9,9,Abuja
