price,unit,location,bedrooms,baths,state
"
                                                                        ₦1,400,000
                                                                            ",/ yr,Happy Land Estate Ajah,3 Beds / 3 Baths Duplex To Rent,,Happy Land Estate Ajah
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Ajah,2 Beds / 2 Baths Flat To Rent,,Ajah
"
                                                                        ₦350,000
                                                                            ",/ yr,Oregun,1 Bed / 1 Bath Flat To Rent,,Oregun
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Osapa Lekki,4 Beds / 4 Baths Detached To Rent,,Osapa Lekki
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Bera Estate Chevron,4 Beds / 4 Baths Duplex To Rent,,Bera Estate Chevron
"
                                                                        ₦1,400,000
                                                                            ",/ yr,19 Association Ave Osapa London,2 Beds / 2 Baths Block of Flats To Rent,,19 Association Ave Osapa London
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Ikate Lekki,3 Beds / 3 Baths Flat To Rent,,Ikate Lekki
"
                                                                        ₦350,000
                                                                            ",/ yr,Akoka Yaba,1 Bed / 1 Bath Flat To Rent,,Akoka Yaba
"
                                                                        ₦1,700,000
                                                                            ",/ yr,Lekki Lagos,3 Beds / 3 Baths Flat To Rent,,Lekki Lagos
"
                                                                        ₦1,500,000
                                                                            ",/ yr,Lekki Garden Estate Ajah,3 Beds / 3 Baths Terrace To Rent,,Lekki Garden Estate Ajah
"
                                                                        ₦350,000
                                                                            ",/ yr,Bucknor,2 Beds / 2 Baths Flat To Rent,,Bucknor
"
                                                                        ₦380,000
                                                                            ",/ yr,Alagbole -Akute Road,2 Beds / 2 Baths Flat To Rent,,Alagbole -Akute Road
"
                                                                        ₦1,500,000
                                                                            ",/ yr,Mobile Road Ajah,3 Beds / 3 Baths Flat To Rent,,Mobile Road Ajah
"
                                                                        ₦2,500,000
                                                                            ",/ yr,"Thera Annex, Sangotedo.",5 Beds / 5 Baths Duplex To Rent,,"Thera Annex, Sangotedo."
