price,unit,location,bedrooms,baths,state
"₦1,800,000.00 Per Year","₦1,800,000.00 Per Year",", Olonode Street, Alagomeji, Yaba, Lagos, Nigeria",3,3f,
"₦1,500,000.00 Per Year","₦1,500,000.00 Per Year",", Alagomeji, Yaba, Lagos, Nigeria",3,3f,
"₦50,000,000.00 ","₦50,000,000.00 ",", Bakare street off Oriola Street, Alapere, Kosofe, Lagos, Nigeria",3,3f,
"₦35,000,000.00 ","₦35,000,000.00 ",", Mabuchi, Abuja FCT, Nigeria",0,,
"₦2,500,000.00 Per Year","₦2,500,000.00 Per Year",", Kayode Odusola Crescent, Ikosi GRA, off CMD Road, Ikosi, Magodo, Lagos, Nigeria",3,3f,
"₦43,000,000.00 ","₦43,000,000.00 ",", Ogudu, Ojota, Lagos, Nigeria",2,0f,
"₦20,000,000.00 ","₦20,000,000.00 ",", off onitolo street,Gbaja, Gbaja, Surulere, Lagos, Nigeria",3,2f,
"₦75,000,000.00 ","₦75,000,000.00 ",", 512 road, Festac, Amuwo-Odofin, Lagos, Nigeria",6,4f,
"₦65,000,000.00 ","₦65,000,000.00 ",", Oniru, Lagos, Nigeria",3,3f,
"₦200,000,000.00 ","₦200,000,000.00 ",", anifowose area, Anifowose, Ikeja, Lagos, Nigeria",,,
"₦2,500,000,000.00 ","₦2,500,000,000.00 ",", Ikoyi waterfront, Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",,,
"₦3,600,000,000.00 ","₦3,600,000,000.00 ",", Queens drive,Ikoyi, Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",,,
"₦12,000,000.00 ","₦12,000,000.00 ",", Abuja FCT, Nigeria",0,,
"₦35,000,000.00 ","₦35,000,000.00 ",", Opebi, Ikeja, Lagos, Nigeria",0,,
"₦3,000,000.00 per month","₦3,000,000.00 per month",", Lekki Phase 1, Lekki, Lagos, Nigeria",3,3f,
"₦300,000,000.00 ","₦300,000,000.00 ",", Allen, Ikeja, Lagos, Nigeria",6,4f,
"₦510,000,000.00 ","₦510,000,000.00 ",", Along Opebi Road, Opebi, Ikeja, Lagos, Nigeria",,,
"₦110,000,000.00 ","₦110,000,000.00 ",", Odunla, Odoguyan, Ikorodu Inddustrial Layout, Ikorodu, Lagos, Nigeria",0,,
₦25.00 ,₦25.00 ,", Nigeria",0,,
"₦35,000,000.00 ","₦35,000,000.00 ",", Opposite Golden Park Estate, Ogidan, Abijo, Lekki, Lagos, Nigeria",4,4f,
"₦120,000,000.00 ","₦120,000,000.00 ",", Oniru, Lagos, Nigeria",4,5f,
"₦200,000,000.00 ","₦200,000,000.00 ",", Abuja FCT, Nigeria",0,0f,
"₦450,000,000.00 ","₦450,000,000.00 ",", Admiralty Way, Lekki Phase 1, Lekki, Lagos, Nigeria",0,,
"₦35,000,000.00 ","₦35,000,000.00 ",", Opebi Garden, Opebi, Ikeja, Lagos, Nigeria",0,,
"₦180,000,000.00 ","₦180,000,000.00 ",", Lekki Phase 1, Lekki, Lagos, Nigeria",4,0f,
"₦120,000,000.00 ","₦120,000,000.00 ",", Abuja FCT, Nigeria",4,5f,
"₦12,000,000.00 ","₦12,000,000.00 ",", Apo, Abuja, Garki, Abuja FCT, Nigeria",0,,
"₦35,000,000.00 ","₦35,000,000.00 ",", Allen, Ikeja, Lagos, Nigeria",3,0f,
